Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-23T11:14:08.988Z","Included","auto","No","38326","0","210432","1731","250489","0.11"
"2026-01-23T11:10:03.173Z","Included","auto","No","39174","0","278816","1639","319629","0.13"
"2026-01-23T11:08:25.814Z","Included","auto","No","14846","0","59232","10671","84749","0.10"
"2026-01-23T11:06:35.165Z","Included","auto","No","8452","0","34304","1014","43770","0.03"
"2026-01-23T10:55:39.095Z","Included","auto","No","31384","0","257632","9635","298651","0.16"
"2026-01-23T10:52:49.510Z","Included","auto","No","35273","0","41024","6350","82647","0.09"
"2026-01-23T10:48:15.350Z","Included","auto","No","7602","0","13312","4200","25114","0.04"
"2026-01-15T15:20:58.084Z","Included","gpt-5.2","No","0","28940","0","1374","30314","0.05"
"2026-01-14T21:13:01.436Z","Included","gpt-5.2","No","0","24779","1010","2097","27886","0.06"
"2026-01-14T18:41:10.970Z","Included","gpt-5.2","No","0","23769","0","1012","24781","0.05"
"2026-01-14T18:06:57.734Z","Included","gpt-5.2","No","0","12653","10610","1130","24393","0.03"
"2026-01-14T14:32:57.541Z","Included","gpt-5.2","No","0","6426","12416","1925","20767","0.02"
"2026-01-14T14:18:51.715Z","Included","gpt-5.2","No","0","4496","11392","1126","17014","0.01"
"2026-01-14T14:17:02.545Z","Included","gpt-5.2","No","0","3914","9600","2211","15725","0.02"
"2026-01-11T18:06:49.439Z","Included","auto","No","4658","0","176128","504","181290","0.05"
"2026-01-11T18:04:45.033Z","Included","auto","No","6392","0","865792","901","873085","0.23"
"2026-01-11T17:59:42.235Z","Included","auto","No","166227","0","657408","3862","827497","0.40"
"2026-01-10T18:43:13.793Z","Included","gpt-5.2","No","0","12245","9216","2380","23841","0.03"
"2026-01-10T18:41:27.687Z","Included","gpt-5.2","Yes","0","0","0","0","0","0.00"
"2026-01-08T19:57:33.375Z","Included","auto","No","151987","0","1646080","7019","1805086","0.64"
"2026-01-08T19:51:04.646Z","Included","auto","No","35980","0","759808","4060","799848","0.26"
"2026-01-08T19:44:24.309Z","Included","auto","No","28969","0","1005312","8121","1042402","0.34"
"2026-01-08T19:34:31.807Z","Included","auto","No","11937","0","552192","3853","567982","0.18"
"2026-01-08T19:25:26.577Z","Included","auto","No","48122","0","194560","2278","244960","0.12"
"2026-01-08T19:16:18.254Z","Included","auto","No","32785","0","99840","2555","135180","0.08"
